NAME	DESCRIPTION	WT_Ctrl_rep_1	WT_Ctrl_rep_2	WT_Ctrl_rep_3	WT_Rap_rep_1	WT_Rap_rep_2	WT_Rap_rep_3	AP2_F_Ctrl_rep_1	AP2_F_Ctrl_rep_2	AP2_F_Ctrl_rep_3	AP2_F_Rap_rep_1	AP2_F_Rap_rep_2	AP2_F_Rap_rep_3
cgd1_1000-RA	na	4.648067155	3.010884513	3.010884513	3.010884513	3.684873515	3.010884513	3.76842451	3.010884513	4.648976093	3.719397979	4.446703726	3.010884513
cgd1_1010-RA	na	4.942228651	3.010884513	4.202713186	3.546137356	3.010884513	3.010884513	3.88172386	3.010884513	3.779961752	4.548110207	3.010884513	4.754403979
cgd1_1040-RA	na	5.186450583	4.369463144	4.846340699	4.896527863	4.768724174	4.489792337	4.693429679	5.573250018	3.010884513	4.548110207	4.106407252	3.677302643
cgd1_1063-RA	na	3.779408455	3.844513052	4.202713186	3.754006642	4.326274405	3.932083313	4.176371886	3.586850643	4.278934887	4.381215481	4.106407252	3.38223573
cgd1_1070-RA	na	3.779408455	3.844513052	4.202713186	3.754006642	4.326274405	3.932083313	4.176371886	3.586850643	4.278934887	4.381215481	4.106407252	3.38223573
cgd1_1090-RA	na	3.010884513	3.010884513	3.010884513	4.242063963	3.684873515	3.932083313	3.9867697	4.577797821	3.779961752	3.010884513	3.660226329	3.010884513
cgd1_1100-RA	na	6.990365306	6.492197259	7.440549954	6.725492182	6.701253146	6.767014834	7.53201398	6.308392469	7.333738846	6.404821258	6.262874267	6.304683762
cgd1_1110-RA	na	6.017229167	5.520066618	5.77214752	3.935662614	5.00270712	4.489792337	6.247436272	5.31112632	5.396336689	4.548110207	5.623489969	5.662601784
cgd1_1120-RA	na	4.648067155	3.844513052	3.726523662	4.494653587	3.010884513	3.932083313	4.629976465	4.99056321	4.943216998	4.192457143	5.751709507	4.987482059
cgd1_1140-RA	na	5.577622184	5.705794666	5.77214752	5.876555061	5.927411123	5.20457829	6.268424343	6.308392469	6.856817	5.886899387	6.425519636	6.614412896
cgd1_1150-RA	na	5.186450583	5.306845616	5.77214752	5.210499987	5.380587788	3.932083313	4.974559434	3.997368832	5.187493604	5.613283381	4.952840553	5.18808976
cgd1_1160-RA	na	5.186450583	5.056554028	4.202713186	4.242063963	4.768724174	4.489792337	5.165670937	4.577797821	5.396336689	4.192457143	4.721855065	4.131405811
cgd1_1170-RA	na	4.278151787	4.753531578	3.010884513	4.709538879	5.380587788	5.462014094	5.294033026	3.997368832	3.779961752	4.192457143	5.751709507	4.754403979
cgd1_1180-RA	na	6.450423026	6.151928238	5.90271311	6.044243698	5.679753584	6.668289744	6.585175697	6.445647204	6.45163902	5.886899387	5.623489969	5.18808976
cgd1_1200-RA	na	4.278151787	5.056554028	5.085065539	3.010884513	3.684873515	4.489792337	3.76842451	4.577797821	3.779961752	3.010884513	4.106407252	4.131405811
cgd1_1220-RA	na	4.942228651	4.369463144	4.846340699	3.546137356	3.684873515	3.932083313	5.209739543	4.99056321	4.943216998	5.886899387	5.97831686	5.662601784
cgd1_1240-RA	na	4.278151787	3.010884513	4.560125758	4.242063963	4.142445442	4.489792337	4.176371886	3.010884513	4.943216998	3.719397979	3.660226329	4.476275426
cgd1_1250-RA	na	5.577622184	5.520066618	5.469128481	5.876555061	5.927411123	5.870022649	5.861973678	5.987148323	4.278934887	5.756568305	3.010884513	5.18808976
cgd1_1260-RA	na	3.779408455	4.753531578	3.726523662	3.935662614	4.142445442	4.489792337	3.010884513	4.99056321	3.779961752	4.192457143	3.010884513	3.010884513
cgd1_1270-RA	na	6.855570791	5.705794666	6.022436784	5.876555061	5.679753584	6.187716881	6.091292966	6.156693393	6.018401941	5.071138554	5.151897008	4.476275426
cgd1_1280-RA	na	4.278151787	5.056554028	4.560125758	6.044243698	5.203984388	5.68039417	5.33440203	4.99056321	5.740640739	5.886899387	5.326789012	4.476275426
cgd1_1290-RA	na	5.395253729	5.056554028	5.289839726	4.242063963	5.203984388	5.870022649	5.555428773	5.794991581	5.578735597	4.192457143	5.151897008	3.677302643
cgd1_130-RA	na	3.779408455	3.010884513	3.010884513	3.010884513	3.010884513	3.932083313	4.084683297	3.010884513	3.010884513	4.192457143	3.660226329	4.754403979
cgd1_1310-RA	na	3.779408455	4.753531578	3.010884513	4.242063963	4.489304987	4.489792337	4.563603517	4.577797821	3.779961752	4.833197758	3.660226329	4.131405811
cgd1_1330-RA	na	3.010884513	5.870316732	5.469128481	4.494653587	4.768724174	4.489792337	5.165670937	3.997368832	6.251222218	5.275335925	4.952840553	4.476275426
cgd1_1340-RA	na	3.779408455	3.844513052	3.010884513	3.010884513	3.010884513	3.010884513	3.88172386	3.997368832	3.010884513	3.010884513	4.952840553	4.131405811
cgd1_1350-RA	na	3.010884513	3.844513052	3.726523662	4.242063963	3.010884513	3.010884513	3.88172386	3.010884513	3.010884513	3.010884513	4.106407252	3.677302643
cgd1_1360-RA	na	3.779408455	3.844513052	3.726523662	3.546137356	3.684873515	3.932083313	4.084683297	3.997368832	4.648976093	3.010884513	3.010884513	4.476275426
cgd1_1370-RA	na	3.010884513	3.844513052	4.202713186	4.494653587	4.489304987	3.932083313	3.362786629	3.997368832	3.010884513	4.548110207	3.010884513	3.677302643
cgd1_1380-RA	na	4.648067155	3.010884513	3.010884513	4.896527863	4.489304987	3.932083313	4.563603517	5.573250018	3.779961752	4.548110207	4.106407252	4.987482059
cgd1_1390-RA	na	3.010884513	3.010884513	4.560125758	4.242063963	5.537911431	4.89100757	4.343925749	4.577797821	4.648976093	3.719397979	4.106407252	4.754403979
cgd1_1400-RA	na	5.395253729	4.753531578	4.846340699	4.494653587	4.768724174	4.89100757	5.33440203	4.99056321	5.187493604	5.756568305	6.500446016	6.120689503
cgd1_1410-RA	na	3.010884513	4.369463144	4.202713186	3.010884513	3.684873515	3.932083313	4.084683297	4.577797821	3.779961752	4.192457143	4.446703726	4.131405811
cgd1_1460-RA	na	5.395253729	4.753531578	6.022436784	4.896527863	5.203984388	4.89100757	5.373672122	4.99056321	4.278934887	4.833197758	4.446703726	4.476275426
cgd1_1490-RA	na	3.779408455	4.369463144	3.726523662	4.494653587	3.684873515	3.010884513	3.9867697	3.997368832	3.010884513	3.010884513	4.106407252	4.476275426
cgd1_1500-RA	na	5.577622184	4.753531578	4.560125758	4.709538879	4.489304987	5.20457829	4.868587159	4.577797821	4.278934887	4.192457143	4.721855065	4.131405811
cgd1_1510-RA	na	6.626349723	5.870316732	7.440549954	6.623225554	6.633122394	6.447921793	7.608078529	6.570970729	7.172796877	6.116802857	6.766408206	5.364177671
cgd1_1520-RA	na	6.541066345	7.067749039	7.156356185	6.393983045	6.888236266	6.323677733	6.444724931	6.570970729	6.627579884	7.465451477	6.93795719	6.542989103
cgd1_1530-RA	na	3.779408455	4.369463144	3.010884513	3.546137356	3.684873515	4.489792337	3.88172386	3.010884513	5.578735597	3.719397979	4.721855065	3.677302643
cgd1_1540-RA	na	4.278151787	3.010884513	5.085065539	4.709538879	4.142445442	3.932083313	4.629976465	3.010884513	3.779961752	5.275335925	3.010884513	5.18808976
cgd1_1550-RA	na	4.278151787	3.010884513	4.560125758	4.242063963	5.00270712	3.010884513	4.693429679	3.010884513	4.943216998	4.548110207	4.446703726	4.131405811
cgd1_1560-RA	na	4.942228651	5.870316732	5.085065539	4.242063963	5.203984388	5.462014094	5.024762615	4.99056321	4.943216998	5.071138554	5.151897008	4.754403979
cgd1_1570-RA	na	6.138317333	5.306845616	4.846340699	5.876555061	5.80889005	4.89100757	5.449144043	3.010884513	5.740640739	5.454182522	4.721855065	5.18808976
cgd1_1580-RA	na	7.332466406	7.19735064	7.207781553	7.150047513	6.888236266	6.447921793	6.858655534	6.445647204	6.856817	7.030485683	6.883009914	7.085770565
cgd1_1590-RA	na	3.779408455	5.056554028	4.560125758	5.210499987	5.00270712	4.89100757	4.563603517	4.99056321	4.648976093	4.833197758	4.952840553	5.791462568
