target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1630	2	17.9541
cgd1_100-RA	3117	2818	0	0
cgd1_1000-RA	897	598	3	73.4076
cgd1_1010-RA	727	428	0	0
cgd1_1023-RA	993	694	2	42.1688
cgd1_1040-RA	1764	1465	2	19.9762
cgd1_1050-RA	438	139	0	0
cgd1_1060-RA	3168	2869	0	0
cgd1_1063-RA	1059	760	2	38.5068
cgd1_1070-RA	1059	760	2	38.5068
cgd1_1080-RA	712	413	2	70.8599
cgd1_1090-RA	2435	2136	1	6.85046
cgd1_110-RA	1510	1211	0	0
cgd1_1100-RA	3312	3013	15	72.8472
cgd1_1110-RA	1648	1349	9	97.6228
cgd1_1120-RA	1755	1456	10	100.498
cgd1_1130-RA	714	415	0	0
cgd1_1140-RA	807	508	17	489.673
cgd1_1150-RA	381	82.2997	5	888.981
cgd1_1160-RA	894	595	4	98.3703
cgd1_1170-RA	1197	898	10	162.946
cgd1_1180-RA	2634	2335	9	56.3997
cgd1_1190-RA	324	35.8135	0	0
cgd1_120-RA	1400	1101	1	13.2903
cgd1_1200-RA	924	625	2	46.8242
cgd1_1210-RA	1689	1390	0	0
cgd1_1220-RA	2277	1978	12	88.772
cgd1_1230-RA	3198	2899	0	0
cgd1_1240-RA	1683	1384	1	10.5727
cgd1_1250-RA	7332	7033	0	0
cgd1_1260-RA	1119	820	0	0
cgd1_1270-RA	1215	916	6	95.8466
cgd1_1280-RA	1383	1084	7	94.4908
cgd1_1290-RA	801	502	6	174.891
cgd1_130-RA	2249	1950	1	7.50389
cgd1_1300-RA	3099	2800	1	5.22592
cgd1_1310-RA	1297	998	1	14.6619
cgd1_1320-RA	567	268	0	0
cgd1_1330-RA	2424	2125	5	34.4296
cgd1_1340-RA	3072	2773	5	26.384
cgd1_1350-RA	2313	2014	2	14.5309
cgd1_1360-RA	546	247	0	0
cgd1_1370-RA	543	244	0	0
cgd1_1380-RA	1041	742	2	39.4409
cgd1_1390-RA	1392	1093	2	26.7751
cgd1_140-RA	3722	3423	0	0
cgd1_1400-RA	2889	2590	18	101.694
cgd1_1410-RA	1140	841	3	52.1971
cgd1_1420-RA	1542	1243	0	0
cgd1_1433-RA	1299	1000	1	14.6326
cgd1_1450-RA	2358	2059	1	7.10664
cgd1_1460-RA	3153	2854	3	15.3811
cgd1_1470-RA	1998	1699	1	8.61246
cgd1_1480-RA	684	385	3	114.02
cgd1_1490-RA	1668	1369	2	21.377
cgd1_150-RA	3125	2826	0	0
cgd1_1500-RA	955	656	4	89.223
cgd1_1510-RA	834	535	22	601.713
cgd1_1520-RA	9027	8728	25	41.9127
cgd1_1530-RA	1680	1381	4	42.3826
cgd1_1540-RA	2034	1735	0	0
cgd1_1550-RA	1947	1648	3	26.637
cgd1_1560-RA	1188	889	6	98.7576
cgd1_1570-RA	1749	1450	4	40.3657
cgd1_1580-RA	2808	2509	24	139.969
cgd1_1590-RA	579	280	5	261.296
cgd1_160-RA	2986	2687	3	16.3371
