target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1630	0	0
cgd1_100-RA	3117	2818	0	0
cgd1_1000-RA	897	598	3	71.3726
cgd1_1010-RA	727	428	1	33.2405
cgd1_1023-RA	993	694	0	0
cgd1_1040-RA	1764	1465	0	0
cgd1_1050-RA	438	139	0	0
cgd1_1060-RA	3168	2869	0	0
cgd1_1063-RA	1059	760	2	37.4393
cgd1_1070-RA	1059	760	2	37.4393
cgd1_1080-RA	712	413	0	0
cgd1_1090-RA	2435	2136	1	6.66055
cgd1_110-RA	1510	1211	0	0
cgd1_1100-RA	3312	3013	27	127.49
cgd1_1110-RA	1648	1349	6	63.2777
cgd1_1120-RA	1755	1456	4	39.085
cgd1_1130-RA	714	415	0	0
cgd1_1140-RA	807	508	19	532.11
cgd1_1150-RA	381	82.2997	5	864.337
cgd1_1160-RA	894	595	6	143.465
cgd1_1170-RA	1197	898	1	15.8429
cgd1_1180-RA	2634	2335	14	85.3007
cgd1_1190-RA	324	35.8135	0	0
cgd1_120-RA	1400	1101	0	0
cgd1_1200-RA	924	625	1	22.7631
cgd1_1210-RA	1689	1390	4	40.9409
cgd1_1220-RA	2277	1978	4	28.7704
cgd1_1230-RA	3198	2899	1	4.90754
cgd1_1240-RA	1683	1384	4	41.1183
cgd1_1250-RA	7332	7033	2	4.04577
cgd1_1260-RA	1119	820	1	17.3499
cgd1_1270-RA	1215	916	10	155.316
cgd1_1280-RA	1383	1084	8	104.996
cgd1_1290-RA	801	502	7	198.384
cgd1_130-RA	2249	1950	0	0
cgd1_1300-RA	3099	2800	0	0
cgd1_1310-RA	1297	998	1	14.2555
cgd1_1320-RA	567	268	0	0
cgd1_1330-RA	2424	2125	12	80.3404
cgd1_1340-RA	3072	2773	0	0
cgd1_1350-RA	2313	2014	0	0
cgd1_1360-RA	546	247	3	172.797
cgd1_1370-RA	543	244	0	0
cgd1_1380-RA	1041	742	1	19.1738
cgd1_1390-RA	1392	1093	3	39.0493
cgd1_140-RA	3722	3423	2	8.31256
cgd1_1400-RA	2889	2590	5	27.4651
cgd1_1410-RA	1140	841	1	16.9167
cgd1_1420-RA	1542	1243	1	11.4457
cgd1_1433-RA	1299	1000	0	0
cgd1_1450-RA	2358	2059	1	6.90964
cgd1_1460-RA	3153	2854	2	9.96983
cgd1_1470-RA	1998	1699	1	8.37372
cgd1_1480-RA	684	385	0	0
cgd1_1490-RA	1668	1369	0	0
cgd1_150-RA	3125	2826	0	0
cgd1_1500-RA	955	656	2	43.3748
cgd1_1510-RA	834	535	24	638.218
cgd1_1520-RA	9027	8728	16	26.0806
cgd1_1530-RA	1680	1381	7	72.1134
cgd1_1540-RA	2034	1735	1	8.19997
cgd1_1550-RA	1947	1648	4	34.5314
cgd1_1560-RA	1188	889	4	64.0133
cgd1_1570-RA	1749	1450	8	78.4935
cgd1_1580-RA	2808	2509	19	107.737
cgd1_1590-RA	579	280	3	152.432
cgd1_160-RA	2986	2687	0	0
cgd1_1600-RA	393	94.0931	0	0
cgd1_1610-RA	1398	1099	2	25.8907
cgd1_1620-RA	1210	911	0	0
cgd1_1625-RA	73	4.36592	0	0
cgd1_1630-RA	928	629	1	22.6184
cgd1_1640-RA	8906	8607	0	0
cgd1_1650-RA	402	103.035	0	0
cgd1_1660-RA	324	35.8135	6	2383.51
cgd1_1670-RA	1386	1087	0	0
cgd1_1680-RA	3102	2803	3	15.2268
cgd1_1690-RA	1983	1684	2	16.8966
cgd1_170-RA	858	559	1	25.4507
cgd1_1700-RA	2488	2189	5	32.4964
cgd1_1710-RA	1348	1049	1	13.5624
cgd1_1720-RA	5427	5128	3	8.3231
cgd1_1730-RA	1245	946	18	270.703
cgd1_1740-RA	830	531	0	0
cgd1_1750-RA	1539	1240	0	0
cgd1_1760-RA	1196	897	0	0
cgd1_1770-RA	417	118.006	0	0
cgd1_1780-RA	1383	1084	0	0
cgd1_1790-RA	1983	1684	0	0
cgd1_180-RA	1587	1288	2	22.0915
cgd1_1800-RA	1482	1183	0	0
cgd1_1810-RA	2022	1723	0	0
cgd1_1820-RA	579	280	0	0
cgd1_1830-RA	618	319	9	401.387
cgd1_1840-RA	2799	2500	3	17.0723
cgd1_1850-RA	450	151	0	0
cgd1_1860-RA	1131	832	0	0
cgd1_1870-RA	1461	1162	0	0
cgd1_1880-RA	612	313	2	90.907
cgd1_1890-RA	681	382	2	74.4866
cgd1_190-RA	1683	1384	1	10.2796
cgd1_1900-RA	799	500	1	28.4539
cgd1_1910-RA	1010	711	0	0
cgd1_1920-RA	13909	13610	0	0
cgd1_1930-RA	1476	1177	1	12.0875
cgd1_1940-RA	558	259	0	0
cgd1_1950-RA	1242	943	4	60.3476
cgd1_1960-RA	630	331	0	0
cgd1_1970-RA	909	610	3	69.9686
cgd1_1980-RA	1494	1195	0	0
cgd1_1990-RA	891	592	0	0
cgd1_20-RA	1464	1165	1	12.212
cgd1_200-RA	549	250	0	0
cgd1_2000-RA	2094	1795	2	15.8517
cgd1_2010-RA	1899	1600	4	35.5674
cgd1_2020-RA	621	322	0	0
cgd1_203-RA	440	141	3	302.701
cgd1_2030-RA	1557	1258	3	33.9275
cgd1_2040-RA	1599	1300	57	623.797
cgd1_2050-RA	801	502	2	56.6811
cgd1_2060-RA	558	259	6	329.582
cgd1_2070-RA	1500	1201	1	11.8459
cgd1_2080-RA	693	394	0	0
cgd1_2090-RA	1113	814	0	0
cgd1_210-RA	615	316	0	0
cgd1_2100-RA	1413	1114	0	0
cgd1_2110-RA	4674	4375	0	0
cgd1_2120-RA	2790	2491	1	5.71134
cgd1_2130-RA	1923	1624	11	96.3648
cgd1_2140-RA	846	547	0	0
cgd1_2150-RA	2070	1771	5	40.1664
cgd1_2160-RA	2250	1951	2	14.5843
cgd1_2170-RA	1157	858	2	33.163
cgd1_2180-RA	1782	1483	0	0
cgd1_2190-RA	2934	2635	0	0
cgd1_220-RA	1281	982	0	0
cgd1_2200-RA	1374	1075	0	0
cgd1_2210-RA	360	62.6012	0	0
cgd1_2220-RA	642	343	3	124.434
cgd1_2230-RA	1197	898	1	15.8429
cgd1_2240-RA	1278	979	0	0
cgd1_2250-RA	432	133.001	0	0
cgd1_2260-RA	435	136	0	0
cgd1_2270-RA	324	35.8135	6	2383.51
cgd1_2280-RA	558	259	0	0
cgd1_2290-RA	2043	1744	0	0
cgd1_2293-RA	237	11.4228	0	0
cgd1_230-RA	1425	1126	1	12.6349
cgd1_2300-RA	4701	4402	0	0
cgd1_2310-RA	492	193	0	0
cgd1_2313-RA	341	47.0146	1	302.607
cgd1_2320-RA	1323	1024	4	55.574
cgd1_2330-RA	843	544	0	0
cgd1_2340-RA	546	247	0	0
cgd1_2350-RA	1680	1381	0	0
cgd1_2360-RA	915	616	4	92.3828
cgd1_2370-RA	990	691	1	20.5889
cgd1_2380-RA	1689	1390	1	10.2352
cgd1_2390-RA	660	361	0	0
cgd1_240-RA	1065	766	0	0
cgd1_2400-RA	996	697	16	326.587
cgd1_2403-RA	462	163	0	0
cgd1_2410-RA	3186	2887	0	0
cgd1_2420-RA	1173	874	0	0
cgd1_2430-RA	936	637	2	44.6686
cgd1_2440-RA	1386	1087	1	13.0883
cgd1_2450-RA	2748	2449	1	5.80929
cgd1_2460-RA	573	274	6	311.539
cgd1_2470-RA	951	652	0	0
cgd1_2480-RA	1315	1016	0	0
cgd1_2490-RA	1003	704	7	141.461
cgd1_250-RA	1634	1335	8	85.2551
cgd1_2500-RA	1899	1600	0	0
cgd1_2510-RA	879	580	1	24.5292
cgd1_2520-RA	321	34.13	0	0
cgd1_2530-RA	3897	3598	0	0
cgd1_2540-RA	3567	3268	0	0
cgd1_2550-RA	537	238	1	59.7771
cgd1_2560-RA	930	631	0	0
cgd1_2570-RA	4347	4048	0	0
cgd1_2580-RA	744	445	0	0
cgd1_2590-RA	771	472	0	0
cgd1_260-RA	1386	1087	2	26.1765
cgd1_2600-RA	2262	1963	2	14.4951
cgd1_2610-RA	6264	5965	0	0
cgd1_2620-RA	3035	2736	1	5.19991
cgd1_2630-RA	1158	859	0	0
cgd1_2635-RA	73	4.36592	0	0
cgd1_2640-RA	354	57.3804	0	0
cgd1_2650-RA	2604	2305	0	0
cgd1_2660-RA	543	244	0	0
cgd1_2663-RA	527	228	0	0
cgd1_2670-RA	1512	1213	0	0
cgd1_2680-RA	873	574	1	24.7856
cgd1_2690-RA	204	8.62912	0	0
cgd1_270-RA	438	139	0	0
cgd1_2700-RA	1224	925	1	15.3805
cgd1_2710-RA	1068	769	1	18.5006
cgd1_2720-RA	2283	1984	4	28.6834
cgd1_2730-RA	2082	1783	16	127.667
cgd1_2740-RA	2586	2287	0	0
cgd1_2750-RA	1896	1597	0	0
cgd1_2760-RA	1197	898	7	110.9
cgd1_2770-RA	3846	3547	3	12.0329
cgd1_2780-RA	1161	862	0	0
cgd1_2783-RA	740	441	0	0
cgd1_2790-RA	496	197	1	72.218
cgd1_280-RA	1104	805	11	194.405
cgd1_2800-RA	522	223	0	0
cgd1_2810-RA	1648	1349	0	0
cgd1_2830-RA	1108	809	1	17.5858
cgd1_2840-RA	4571	4272	3	9.99083
cgd1_2850-RA	3468	3169	3	13.4682
cgd1_2860-RA	1610	1311	0	0
cgd1_2870-RA	2079	1780	0	0
cgd1_2880-RA	1934	1635	44	382.866
cgd1_2890-RA	2946	2647	2	10.7495
cgd1_290-RA	1500	1201	1	11.8459
cgd1_2900-RA	1773	1474	0	0
cgd1_2910-RA	420	121.004	0	0
cgd1_2920-RA	663	364	0	0
cgd1_2940-RA	777	478	0	0
cgd1_2943-RA	623	324	0	0
cgd1_2950-RA	1122	823	1	17.2867
cgd1_2960-RA	2428	2129	3	20.0474
cgd1_2970-RA	1167	868	2	32.781
cgd1_2980-RA	744	445	5	159.853
cgd1_2990-RA	417	118.006	0	0
cgd1_30-RA	4953	4654	0	0
cgd1_300-RA	328	38.1945	2	744.974
cgd1_3000-RA	489	190	10	748.787
cgd1_3010-RA	855	556	6	153.528
cgd1_3020-RA	1110	811	94	1648.99
cgd1_3030-RA	2463	2164	2	13.1487
cgd1_3033-RA	657	358	0	0
cgd1_3040-RA	753	454	20	626.738
cgd1_3050-RA	1380	1081	3	39.4827
cgd1_3060-RA	1359	1060	1	13.4216
cgd1_3070-RA	11588	11289	2	2.5205
cgd1_3080-RA	993	694	0	0
cgd1_3090-RA	1227	928	0	0
cgd1_3095-RA	71	4.33451	0	0
cgd1_310-RA	1095	796	0	0
cgd1_3100-RA	2180	1881	0	0
cgd1_3110-RA	2538	2239	1	6.35415
cgd1_3120-RA	2249	1950	2	14.5917
cgd1_3130-RA	2079	1780	4	31.9707
cgd1_3140-RA	618	319	1	44.5986
cgd1_3150-RA	984	685	0	0
cgd1_3160-RA	4359	4060	0	0
cgd1_3170-RA	4860	4561	17.0208	53.0924
cgd1_3180-RA	1371	1072	0	0
cgd1_3190-RA	2390	2091	0	0
cgd1_320-RA	1773	1474	1	9.65193
cgd1_3200-RA	864	565	0	0
cgd1_3210-RA	3123	2824	1	5.03787
cgd1_3220-RA	2022	1723	1	8.25708
cgd1_3230-RA	2640	2341	1	6.07729
cgd1_3240-RA	9555	9256	5	7.68526
cgd1_3250-RA	726	427	1	33.3184
cgd1_3260-RA	1038	739	0	0
cgd1_3270-RA	2323	2024	0	0
cgd1_3280-RA	939	640	0	0
cgd1_3290-RA	2407	2108	2	13.4981
cgd1_330-RA	2648	2349	38	230.151
cgd1_3300-RA	891	592	0	0
cgd1_3310-RA	684	385	0	0
cgd1_3320-RA	855	556	0	0
cgd1_3330-RA	631	332	0	0
cgd1_3340-RA	1484	1185	16	192.094
cgd1_3343-RA	494	195	1	72.9587
cgd1_3350-RA	519	220	0	0
cgd1_3360-RA	1932	1633	1	8.71215
cgd1_3370-RA	636	337	0	0
cgd1_3380-RA	889	590	0	0
cgd1_3390-RA	1884	1585	3	26.928
cgd1_340-RA	1483	1184	3	36.048
cgd1_3400-RA	1240	941	1	15.119
cgd1_3410-RA	273	16.9784	0	0
cgd1_3420-RA	2205	1906	2.0059	14.9726
cgd1_3430-RA	428	129.001	0	0
cgd1_3440-RA	1470	1171	1	12.1494
cgd1_3450-RA	2022	1723	24	198.17
cgd1_3460-RA	960	661	0	0
cgd1_3470-RA	588	289	0	0
cgd1_3480-RA	1838	1539	9	83.1985
cgd1_3490-RA	457	158	1	90.044
cgd1_350-RA	2343	2044	1	6.96035
cgd1_3500-RA	2495	2196	7	45.35
cgd1_3510-RA	1761	1462	13	126.505
cgd1_3520-RA	1671	1372	9	93.3254
cgd1_3530-RA	2680	2381	29	173.281
cgd1_3540-RA	5820	5521	4	10.3075
cgd1_3543-RA	497	198	0	0
cgd1_3550-RA	2778	2479	3	17.217
cgd1_3560-RA	381	82.2997	0	0
cgd1_3570-RA	1260	961	2	29.6086
cgd1_3580-RA	429	130.001	2	218.874
cgd1_3583-RA	821	522	0	0
cgd1_3590-RA	1338	1039	2	27.3858
cgd1_360-RA	2511	2212	1	6.43171
cgd1_3600-RA	2254	1955	0	0
cgd1_3610-RA	2808	2509	0	0
cgd1_3620-RA	1107	808	0	0
cgd1_3630-RA	2238	1939	1	7.33726
cgd1_3640-RA	1569	1270	1	11.2023
cgd1_3650-RA	1059	760	2	37.4393
cgd1_3660-RA	618	319	0	0
cgd1_3670-RA	6618	6319	15	33.7718
cgd1_3680-RA	1613	1314	61	660.459
cgd1_3690-RA	3078	2779	3	15.3583
cgd1_370-RA	2244	1945	3	21.9439
cgd1_3700-RA	1362	1063	12	160.605
cgd1_3710-RA	2088	1789	5	39.7623
cgd1_3720-RA	1263	964	5	73.7912
cgd1_3730-RA	2091	1792	0	0
cgd1_3740-RA	4224	3925	4	14.4988
cgd1_3750-RA	861	562	3	75.9445
cgd1_3760-RA	3480	3181	0	0
cgd1_3770-RA	531	232	0	0
cgd1_3780-RA	2445	2146	17	112.702
cgd1_3790-RA	3819	3520	2	8.08349
cgd1_380-RA	1360	1061	0	0
cgd1_3800-RA	573	274	0	0
cgd1_3810-RA	2739	2440	94	548.087
cgd1_3820-RA	2988	2689	1	5.29079
cgd1_3830-RA	604	305	1	46.6457
cgd1_3840-RA	3224	2925	1	4.86391
cgd1_3850-RA	2775	2476	1	5.74594
cgd1_3860-RA	1292	993	0	0
cgd1_390-RA	997	698	7	142.677
cgd1_40-RA	1152	853	2	33.3574
cgd1_400-RA	2187	1888	0	0
cgd1_410-RA	527	228	2	124.798
cgd1_420-RA	628	329	4	172.972
cgd1_430-RA	617	318	1	44.7388
cgd1_440-RA	692	393	2	72.4018
cgd1_450-RA	2006	1707	0	0
cgd1_460-RA	2015	1716	2	16.5815
cgd1_470-RA	2799	2500	11	62.5986
cgd1_480-RA	498	199	0	0
cgd1_490-RA	393	94.0931	0	0
cgd1_493-RA	456	157	0	0
cgd1_5-RA	698	399	3361.9	119874
cgd1_50-RA	3140	2841	3	15.0232
cgd1_500-RA	1477	1178	1	12.0772
cgd1_510-RA	1906	1607	1	8.85311
