target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1630	0	0
cgd1_100-RA	3117	2818	1	4.39217
cgd1_1000-RA	897	598	3	62.0926
cgd1_1010-RA	727	428	4	115.674
cgd1_1023-RA	993	694	0	0
cgd1_1040-RA	1764	1465	5	42.2428
cgd1_1050-RA	438	139	0	0
cgd1_1060-RA	3168	2869	0	0
cgd1_1063-RA	1059	760	1	16.2857
cgd1_1070-RA	1059	760	1	16.2857
cgd1_1080-RA	712	413	1	29.9688
cgd1_1090-RA	2435	2136	0	0
cgd1_110-RA	1510	1211	0	0
cgd1_1100-RA	3312	3013	21	86.2661
cgd1_1110-RA	1648	1349	10	91.7504
cgd1_1120-RA	1755	1456	3	25.5023
cgd1_1130-RA	714	415	2	59.6488
cgd1_1140-RA	807	508	7	170.551
cgd1_1150-RA	381	82.2997	5	751.954
cgd1_1160-RA	894	595	5	104.009
cgd1_1170-RA	1197	898	2	27.566
cgd1_1180-RA	2634	2335	14	74.2097
cgd1_1190-RA	324	35.8135	0	0
cgd1_120-RA	1400	1101	0	0
cgd1_1200-RA	924	625	2	39.6068
cgd1_1210-RA	1689	1390	1	8.90441
cgd1_1220-RA	2277	1978	4	25.0296
cgd1_1230-RA	3198	2899	0	0
cgd1_1240-RA	1683	1384	2	17.886
cgd1_1250-RA	7332	7033	7	12.3191
cgd1_1260-RA	1119	820	1	15.0941
cgd1_1270-RA	1215	916	19	256.731
cgd1_1280-RA	1383	1084	2	22.836
cgd1_1290-RA	801	502	6	147.934
cgd1_130-RA	2249	1950	1	6.34724
cgd1_1300-RA	3099	2800	1	4.4204
cgd1_1310-RA	1297	998	1	12.4019
cgd1_1320-RA	567	268	0	0
cgd1_1330-RA	2424	2125	0	0
cgd1_1340-RA	3072	2773	1	4.46344
cgd1_1350-RA	2313	2014	0	0
cgd1_1360-RA	546	247	1	50.1098
cgd1_1370-RA	543	244	0	0
cgd1_1380-RA	1041	742	3	50.0423
cgd1_1390-RA	1392	1093	0	0
cgd1_140-RA	3722	3423	0	0
cgd1_1400-RA	2889	2590	6	28.6729
cgd1_1410-RA	1140	841	0	0
cgd1_1420-RA	1542	1243	1	9.95746
cgd1_1433-RA	1299	1000	0	0
cgd1_1450-RA	2358	2059	2	12.0225
cgd1_1460-RA	3153	2854	6	26.0206
cgd1_1470-RA	1998	1699	0	0
cgd1_1480-RA	684	385	2	64.2968
cgd1_1490-RA	1668	1369	1	9.041
cgd1_150-RA	3125	2826	0	0
cgd1_1500-RA	955	656	7	132.073
cgd1_1510-RA	834	535	16	370.157
cgd1_1520-RA	9027	8728	15	21.2714
cgd1_1530-RA	1680	1381	1	8.96244
cgd1_1540-RA	2034	1735	2	14.2676
cgd1_1550-RA	1947	1648	2	15.0208
cgd1_1560-RA	1188	889	4	55.6901
cgd1_1570-RA	1749	1450	11	93.8954
cgd1_1580-RA	2808	2509	27	133.193
cgd1_1590-RA	579	280	1	44.204
cgd1_160-RA	2986	2687	0	0
cgd1_1600-RA	393	94.0931	0	0
cgd1_1610-RA	1398	1099	1	11.2622
cgd1_1620-RA	1210	911	0	0
cgd1_1625-RA	73	4.36592	0	0
cgd1_1630-RA	928	629	2	39.3549
cgd1_1640-RA	8906	8607	1	1.43803
cgd1_1650-RA	402	103.035	1	120.126
