target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1630	1	12.6945
cgd1_100-RA	3117	2818	0	0
cgd1_1000-RA	897	598	0	0
cgd1_1010-RA	727	428	0	0
cgd1_1023-RA	993	694	0	0
cgd1_1040-RA	1764	1465	2	28.2486
cgd1_1050-RA	438	139	0	0
cgd1_1060-RA	3168	2869	1	7.2123
cgd1_1063-RA	1059	760	1	27.2264
cgd1_1070-RA	1059	760	1	27.2264
cgd1_1080-RA	712	413	0	0
cgd1_1090-RA	2435	2136	1	9.68731
cgd1_110-RA	1510	1211	0	0
cgd1_1100-RA	3312	3013	14	96.1465
cgd1_1110-RA	1648	1349	2	30.6777
cgd1_1120-RA	1755	1456	1	14.2116
cgd1_1130-RA	714	415	0	0
cgd1_1140-RA	807	508	4	162.93
cgd1_1150-RA	381	82.2997	1	251.424
cgd1_1160-RA	894	595	2	69.5533
cgd1_1170-RA	1197	898	5	115.212
cgd1_1180-RA	2634	2335	13	115.202
cgd1_1190-RA	324	35.8135	0	0
cgd1_120-RA	1400	1101	0	0
cgd1_1200-RA	924	625	2	66.2147
cgd1_1210-RA	1689	1390	1	14.8864
cgd1_1220-RA	2277	1978	1	10.4611
cgd1_1230-RA	3198	2899	0	0
cgd1_1240-RA	1683	1384	2	29.9019
cgd1_1250-RA	7332	7033	7	20.595
cgd1_1260-RA	1119	820	2	50.4685
cgd1_1270-RA	1215	916	9	203.307
cgd1_1280-RA	1383	1084	6	114.532
cgd1_1290-RA	801	502	7	288.535
cgd1_130-RA	2249	1950	1	10.6113
cgd1_1300-RA	3099	2800	1	7.39004
cgd1_1310-RA	1297	998	2	41.4671
cgd1_1320-RA	567	268	0	0
cgd1_1330-RA	2424	2125	2	19.4749
cgd1_1340-RA	3072	2773	0	0
cgd1_1350-RA	2313	2014	0	0
cgd1_1360-RA	546	247	1	83.7737
cgd1_1370-RA	543	244	1	84.8037
cgd1_1380-RA	1041	742	1	27.8869
cgd1_1390-RA	1392	1093	3	56.7944
cgd1_140-RA	3722	3423	0	0
cgd1_1400-RA	2889	2590	3	23.9677
cgd1_1410-RA	1140	841	1	24.6042
cgd1_1420-RA	1542	1243	0	0
cgd1_1433-RA	1299	1000	1	20.6921
cgd1_1450-RA	2358	2059	0	0
cgd1_1460-RA	3153	2854	3	21.7506
cgd1_1470-RA	1998	1699	0	0
cgd1_1480-RA	684	385	0	0
cgd1_1490-RA	1668	1369	0	0
cgd1_150-RA	3125	2826	0	0
cgd1_1500-RA	955	656	4	126.171
cgd1_1510-RA	834	535	11	425.445
cgd1_1520-RA	9027	8728	10	23.7077
cgd1_1530-RA	1680	1381	2	29.9668
cgd1_1540-RA	2034	1735	1	11.9263
cgd1_1550-RA	1947	1648	0	0
cgd1_1560-RA	1188	889	5	116.379
cgd1_1570-RA	1749	1450	3	42.8112
cgd1_1580-RA	2808	2509	11	90.7187
cgd1_1590-RA	579	280	3	221.701
cgd1_160-RA	2986	2687	0	0
cgd1_1600-RA	393	94.0931	4	879.644
cgd1_1610-RA	1398	1099	0	0
cgd1_1620-RA	1210	911	2	45.4272
cgd1_1625-RA	73	4.36592	0	0
cgd1_1630-RA	928	629	0	0
cgd1_1640-RA	8906	8607	0	0
